Gene stable ID,Gene stable ID version,Gene type
ENSG00000198888,ENSG00000198888.2,protein_coding
ENSG00000198763,ENSG00000198763.3,protein_coding
ENSG00000198804,ENSG00000198804.2,protein_coding
ENSG00000198712,ENSG00000198712.1,protein_coding
ENSG00000228253,ENSG00000228253.1,protein_coding
ENSG00000198899,ENSG00000198899.2,protein_coding
ENSG00000198938,ENSG00000198938.2,protein_coding
ENSG00000198840,ENSG00000198840.2,protein_coding
ENSG00000212907,ENSG00000212907.2,protein_coding
ENSG00000198886,ENSG00000198886.2,protein_coding
ENSG00000198786,ENSG00000198786.2,protein_coding
ENSG00000198695,ENSG00000198695.2,protein_coding
ENSG00000198727,ENSG00000198727.2,protein_coding
ENSG00000277776,ENSG00000277776.4,protein_coding
ENSG00000276263,ENSG00000276263.1,protein_coding
ENSG00000262621,ENSG00000262621.5,protein_coding
ENSG00000278714,ENSG00000278714.1,protein_coding
ENSG00000278426,ENSG00000278426.1,protein_coding
ENSG00000276220,ENSG00000276220.1,protein_coding
ENSG00000276760,ENSG00000276760.4,protein_coding
ENSG00000275633,ENSG00000275633.4,protein_coding
ENSG00000278670,ENSG00000278670.4,protein_coding
ENSG00000273748,ENSG00000273748.1,protein_coding
ENSG00000274847,ENSG00000274847.1,protein_coding
ENSG00000274418,ENSG00000274418.1,protein_coding
ENSG00000267954,ENSG00000267954.2,protein_coding
ENSG00000276159,ENSG00000276159.4,protein_coding
ENSG00000276323,ENSG00000276323.1,protein_coding
ENSG00000275249,ENSG00000275249.1,protein_coding
ENSG00000277607,ENSG00000277607.4,protein_coding
ENSG00000275644,ENSG00000275644.4,protein_coding
ENSG00000274175,ENSG00000274175.1,protein_coding
ENSG00000275606,ENSG00000275606.1,protein_coding
ENSG00000277761,ENSG00000277761.1,protein_coding
ENSG00000275605,ENSG00000275605.1,protein_coding
ENSG00000276363,ENSG00000276363.4,protein_coding
ENSG00000274941,ENSG00000274941.4,protein_coding
ENSG00000277824,ENSG00000277824.4,protein_coding
ENSG00000274626,ENSG00000274626.3,protein_coding
ENSG00000274542,ENSG00000274542.1,protein_coding
ENSG00000274703,ENSG00000274703.4,protein_coding
ENSG00000276253,ENSG00000276253.1,protein_coding
ENSG00000285089,ENSG00000285089.1,protein_coding
ENSG00000275551,ENSG00000275551.4,protein_coding
ENSG00000274905,ENSG00000274905.1,protein_coding
ENSG00000274050,ENSG00000274050.4,protein_coding
ENSG00000278712,ENSG00000278712.4,protein_coding
ENSG00000280951,ENSG00000280951.3,protein_coding
ENSG00000278519,ENSG00000278519.4,protein_coding
ENSG00000284826,ENSG00000284826.1,protein_coding
ENSG00000170152,ENSG00000170152.5,protein_coding
ENSG00000281230,ENSG00000281230.3,protein_coding
ENSG00000280680,ENSG00000280680.3,protein_coding
ENSG00000275796,ENSG00000275796.4,protein_coding
ENSG00000275493,ENSG00000275493.2,protein_coding
ENSG00000276022,ENSG00000276022.1,protein_coding
ENSG00000274873,ENSG00000274873.1,protein_coding
ENSG00000274194,ENSG00000274194.4,protein_coding
ENSG00000281309,ENSG00000281309.2,protein_coding
ENSG00000274889,ENSG00000274889.1,protein_coding
ENSG00000277196,ENSG00000277196.4,protein_coding
ENSG00000276886,ENSG00000276886.4,protein_coding
ENSG00000274063,ENSG00000274063.1,protein_coding
ENSG00000277005,ENSG00000277005.1,protein_coding
ENSG00000277707,ENSG00000277707.4,protein_coding
ENSG00000277088,ENSG00000277088.4,protein_coding
ENSG00000272000,ENSG00000272000.6,protein_coding
ENSG00000134575,ENSG00000134575.11,protein_coding
ENSG00000278378,ENSG00000278378.4,protein_coding
ENSG00000277086,ENSG00000277086.3,protein_coding
ENSG00000275724,ENSG00000275724.1,protein_coding
ENSG00000275165,ENSG00000275165.4,protein_coding
ENSG00000275979,ENSG00000275979.4,protein_coding
ENSG00000277400,ENSG00000277400.1,protein_coding
ENSG00000268674,ENSG00000268674.2,protein_coding
ENSG00000277629,ENSG00000277629.4,protein_coding
ENSG00000276082,ENSG00000276082.4,protein_coding
ENSG00000276341,ENSG00000276341.1,protein_coding
ENSG00000278322,ENSG00000278322.4,protein_coding
ENSG00000277179,ENSG00000277179.4,protein_coding
ENSG00000277722,ENSG00000277722.1,protein_coding
ENSG00000274796,ENSG00000274796.4,protein_coding
ENSG00000275474,ENSG00000275474.1,protein_coding
ENSG00000280584,ENSG00000280584.2,protein_coding
ENSG00000274887,ENSG00000274887.4,protein_coding
ENSG00000275931,ENSG00000275931.4,protein_coding
ENSG00000269167,ENSG00000269167.1,protein_coding
ENSG00000273944,ENSG00000273944.1,protein_coding
ENSG00000278533,ENSG00000278533.4,protein_coding
ENSG00000275577,ENSG00000275577.4,protein_coding
ENSG00000276787,ENSG00000276787.1,protein_coding
ENSG00000280514,ENSG00000280514.1,protein_coding
ENSG00000275568,ENSG00000275568.4,protein_coding
ENSG00000285224,ENSG00000285224.1,protein_coding
ENSG00000276145,ENSG00000276145.1,protein_coding
ENSG00000282676,ENSG00000282676.1,protein_coding
ENSG00000277626,ENSG00000277626.1,protein_coding
ENSG00000285332,ENSG00000285332.1,protein_coding
ENSG00000277996,ENSG00000277996.1,protein_coding
ENSG00000281879,ENSG00000281879.3,protein_coding
ENSG00000283984,ENSG00000283984.2,protein_coding
ENSG00000280627,ENSG00000280627.3,protein_coding
ENSG00000274566,ENSG00000274566.4,protein_coding
ENSG00000275063,ENSG00000275063.1,protein_coding
ENSG00000278232,ENSG00000278232.4,protein_coding
ENSG00000286079,ENSG00000286079.1,protein_coding
ENSG00000281766,ENSG00000281766.3,protein_coding
ENSG00000274672,ENSG00000274672.4,protein_coding
ENSG00000274073,ENSG00000274073.1,protein_coding
ENSG00000273554,ENSG00000273554.4,protein_coding
ENSG00000277856,ENSG00000277856.1,protein_coding
ENSG00000278695,ENSG00000278695.1,protein_coding
ENSG00000280858,ENSG00000280858.3,protein_coding
ENSG00000271254,ENSG00000271254.6,protein_coding
ENSG00000277614,ENSG00000277614.1,protein_coding
ENSG00000278198,ENSG00000278198.1,protein_coding
ENSG00000277953,ENSG00000277953.4,protein_coding
ENSG00000278682,ENSG00000278682.4,protein_coding
ENSG00000276982,ENSG00000276982.4,protein_coding
ENSG00000274965,ENSG00000274965.4,protein_coding
ENSG00000285447,ENSG00000285447.1,protein_coding
ENSG00000276211,ENSG00000276211.4,protein_coding
ENSG00000276066,ENSG00000276066.4,protein_coding
ENSG00000278365,ENSG00000278365.1,protein_coding
ENSG00000282035,ENSG00000282035.1,protein_coding
ENSG00000275086,ENSG00000275086.1,protein_coding
ENSG00000278633,ENSG00000278633.1,protein_coding
ENSG00000274359,ENSG00000274359.1,protein_coding
ENSG00000275123,ENSG00000275123.1,protein_coding
ENSG00000276826,ENSG00000276826.1,protein_coding
ENSG00000274144,ENSG00000274144.4,protein_coding
ENSG00000277154,ENSG00000277154.4,protein_coding
ENSG00000278384,ENSG00000278384.1,protein_coding
ENSG00000273496,ENSG00000273496.1,protein_coding
ENSG00000276296,ENSG00000276296.1,protein_coding
ENSG00000276345,ENSG00000276345.1,protein_coding
ENSG00000276804,ENSG00000276804.4,protein_coding
ENSG00000277263,ENSG00000277263.1,protein_coding
ENSG00000281185,ENSG00000281185.1,protein_coding
ENSG00000281022,ENSG00000281022.2,protein_coding
ENSG00000274894,ENSG00000274894.4,protein_coding
ENSG00000273916,ENSG00000273916.4,protein_coding
ENSG00000278081,ENSG00000278081.3,protein_coding
ENSG00000275117,ENSG00000275117.4,protein_coding
ENSG00000276628,ENSG00000276628.1,protein_coding
ENSG00000129932,ENSG00000129932.8,protein_coding
ENSG00000278149,ENSG00000278149.1,protein_coding
ENSG00000276565,ENSG00000276565.1,protein_coding
ENSG00000281024,ENSG00000281024.3,protein_coding
ENSG00000277630,ENSG00000277630.4,protein_coding
ENSG00000273511,ENSG00000273511.4,protein_coding
ENSG00000276017,ENSG00000276017.1,protein_coding
ENSG00000276065,ENSG00000276065.4,protein_coding
ENSG00000286265,ENSG00000286265.1,protein_coding
ENSG00000275917,ENSG00000275917.4,protein_coding
ENSG00000277457,ENSG00000277457.1,protein_coding
ENSG00000277401,ENSG00000277401.4,protein_coding
ENSG00000274733,ENSG00000274733.1,protein_coding
ENSG00000278119,ENSG00000278119.1,protein_coding
ENSG00000274504,ENSG00000274504.1,protein_coding
ENSG00000275049,ENSG00000275049.1,protein_coding
ENSG00000278257,ENSG00000278257.1,protein_coding
ENSG00000278161,ENSG00000278161.1,protein_coding
ENSG00000274053,ENSG00000274053.4,protein_coding
ENSG00000277923,ENSG00000277923.4,protein_coding
ENSG00000275483,ENSG00000275483.4,protein_coding
ENSG00000277475,ENSG00000277475.1,protein_coding
ENSG00000276766,ENSG00000276766.1,protein_coding
ENSG00000273506,ENSG00000273506.4,protein_coding
ENSG00000277403,ENSG00000277403.1,protein_coding
ENSG00000276604,ENSG00000276604.1,protein_coding
ENSG00000258002,ENSG00000258002.2,protein_coding
ENSG00000275806,ENSG00000275806.1,protein_coding
ENSG00000275384,ENSG00000275384.1,protein_coding
ENSG00000283965,ENSG00000283965.2,protein_coding
ENSG00000277667,ENSG00000277667.1,protein_coding
ENSG00000277025,ENSG00000277025.4,protein_coding
ENSG00000275746,ENSG00000275746.1,protein_coding
ENSG00000275822,ENSG00000275822.4,protein_coding
ENSG00000274953,ENSG00000274953.4,protein_coding
ENSG00000278363,ENSG00000278363.1,protein_coding
ENSG00000275798,ENSG00000275798.4,protein_coding
ENSG00000277615,ENSG00000277615.4,protein_coding
ENSG00000278704,ENSG00000278704.1,protein_coding
ENSG00000278782,ENSG00000278782.1,protein_coding
ENSG00000257770,ENSG00000257770.5,protein_coding
ENSG00000277733,ENSG00000277733.4,protein_coding
ENSG00000277071,ENSG00000277071.4,protein_coding
ENSG00000273833,ENSG00000273833.1,protein_coding
ENSG00000277836,ENSG00000277836.1,protein_coding
ENSG00000286094,ENSG00000286094.1,protein_coding
ENSG00000278817,ENSG00000278817.1,protein_coding
ENSG00000275399,ENSG00000275399.4,protein_coding
ENSG00000257215,ENSG00000257215.2,protein_coding
ENSG00000204805,ENSG00000204805.9,protein_coding
ENSG00000276256,ENSG00000276256.1,protein_coding
ENSG00000269823,ENSG00000269823.1,protein_coding
ENSG00000273896,ENSG00000273896.4,protein_coding
